Bestandsnaam,ElementName,Kolomnaam,Code,,Definitie,Type,Eenheid,Verplicht,Standaardwaarde,Opmerking
GroeneDaken.csv,Greenroof.csv,HydxThetaBodemverzadiging,SSA_THT,MOISTURE_SOIL_SATURATION,Theta op bodemverzadiging,double,%,ja,,[Len=4.2]
GroeneDaken.csv,Greenroof.csv,HydxConductiviteitVeldcapaciteit,FCP_CON,CONDUCTIVITY_FIELD_CAPACITY,Conductiviteit op veldcapaciteit,double,mm/min,ja,,[Len=8.2]
GroeneDaken.csv,Greenroof.csv,HydxConductiviteitBodemverzadiging,SSA_CON,CONDUCTIVITY_SOIL_SATURATION,Conductiviteit op bodemverzadiging,double,mm/min,ja,,[Len=8.2]
GroeneDaken.csv,Greenroof.csv,HydxToelichtingRegel,ALG_TOE,REMARKS,Toelichting bij deze regel,string,string,nee,,[Len=100]
Verloop.csv,Distribution.csv,HydxIdentificatieVerloopDefinitie,VER_IDE,DISTRIBUTION_ID,Verloop van debiet. Koppeling tussen Debiet.csv en Verloop.csv.,string,string,ja,,[Len=10] [Verplicht als Debiet/DEB_TYP=VWD]
Verloop.csv,Distribution.csv,HydxTypeVerloop,VER_TYP,DISTRIBUTION_TYPE,Constant of variabel verloop,string,TypeVerloopColl,ja,,[Len=3]
Verloop.csv,Distribution.csv,HydxDagnummer,VER_DAG,DAY,"Dagnummer (1 t/m 7) Maandag is dag 1, dinsdag is dag 2 etc.",double,number,nee,,"[Len=1] [Verplicht als Verloop/VER_TYP=CST, VAR]"
Verloop.csv,Distribution.csv,HydxDagvolume,VER_VOL,VOLUME,Dagvolume,double,dm3,ja,,[Len=10]
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur00,U00_DAG,H00_PERCENTAGE_DAY_VOLUME_AT_00_HOUR,Percentage van het dagvolume op 00 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur01,U01_DAG,H01_PERCENTAGE_DAY_VOLUME_AT_01_HOUR,Percentage van het dagvolume op 01 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur02,U02_DAG,H02_PERCENTAGE_DAY_VOLUME_AT_02_HOUR,Percentage van het dagvolume op 02 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur03,U03_DAG,H03_PERCENTAGE_DAY_VOLUME_AT_03_HOUR,Percentage van het dagvolume op 03 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur04,U04_DAG,H04_PERCENTAGE_DAY_VOLUME_AT_04_HOUR,Percentage van het dagvolume op 04 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
